ID ответа;Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;b24;b25;b26;b27;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
65992263;Женщина;48;Город с численностью от 100 тысяч до 500 тысяч;Высшее;20 + лет;15-20 лет;"Финансы, бухгалтерия, банки;";1000+ человек;бухгалтер;60;30 000 — 60 000;Нет;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Часто;Иногда;Скорее часто;Скорее часто;Скорее редко;Редко;Иногда;Редко;Иногда;Часто;Скорее часто;Часто;Практически никогда;Практически никогда;Часто;Скорее часто;Практически никогда;Часто;Скорее часто;Практически всегда;Иногда;Скорее редко;Иногда;Иногда;Скорее часто;Скорее редко;Скорее часто;Иногда;Иногда;Скорее редко;Часто;Скорее редко;Иногда;Скорее часто;Часто;Иногда;Иногда;Практически никогда;Скорее часто;Иногда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Скорее часто;Иногда;Практически никогда;Редко;Часто;Скорее часто;Скорее часто;Редко;Скорее согласен, чем не согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Не согласен;Согласен;Где-то посередине;Где-то посередине;Где-то посередине;Не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее не согласен
65985522;Мужчина;30;Москва;Неоконченное высшее;10-15 лет;5-10 лет;"Продажи, закупки;";До 50 человек;ИП;100;100 000 — 150 000;Да;Практически всегда;Практически всегда;Практически всегда;Редко;Редко;Часто;Часто;Практически всегда;Скорее редко;Практически никогда;Практически всегда;Редко;Практически всегда;Часто;Часто;Скорее часто;Скорее часто;Скорее редко;Практически всегда;Практически всегда;Редко;Редко;Практически всегда;Практически всегда;Практически всегда;Редко;Скорее редко;Часто;Практически всегда;Скорее часто;Часто;Практически всегда;Редко;Редко;Часто;Иногда;Часто;Практически всегда;Практически всегда;Иногда;Скорее часто;Часто;Часто;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Редко;Практически всегда;Скорее часто;Практически всегда;Практически всегда;Часто;Практически никогда;Практически всегда;Часто;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Где-то посередине;Согласен;Скорее согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен
65984452;Мужчина;50;Город с численностью жителей миллион и более человек;Высшее;20 + лет;5-10 лет;"Логистика;";До 500 человек;Квалифицированный рабочий;74;30 000 — 60 000;Нет;Практически всегда;Практически всегда;Часто;Практически никогда;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Иногда;Иногда;Практически никогда;Практически всегда;Практически всегда;Редко;Редко;Практически всегда;Иногда;Практически всегда;Иногда;Иногда;Практически всегда;Практически всегда;Часто;Практически всегда;Иногда;Практически никогда;Практически никогда;Практически никогда;Иногда;Практически всегда;Иногда;Часто;Скорее редко;Часто;Практически всегда;Часто;Скорее часто;Практически всегда;Часто;Редко;Скорее часто;Скорее часто;Часто;Практически всегда;Часто;Скорее редко;Практически никогда;Практически всегда;Скорее часто;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Частично согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине
65984372;Мужчина;25;Город с численностью от 100 тысяч до 500 тысяч;Высшее;1-3 года;1-3 года;"Медицина;";До 1000 человек;врач;30;30 000 — 60 000;Да;Практически всегда;Часто;Скорее часто;Практически никогда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Скорее часто;Редко;Практически всегда;Иногда;Практически всегда;Практически всегда;Практически никогда;Иногда;Практически всегда;Практически всегда;Редко;Редко;Часто;Скорее редко;Скорее часто;Практически никогда;Скорее редко;Иногда;Часто;Практически никогда;Иногда;Редко;Иногда;Иногда;Практически никогда;Практически никогда;Часто;Практически всегда;Часто;Часто;Иногда;Практически всегда;Практически всегда;Часто;Практически всегда;Скорее часто;Редко;Практически никогда;Практически никогда;Практически всегда;Практически всегда;Скорее часто;Часто;Редко;Иногда;Часто;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Абсолютно не согласен;Полностью согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Не согласен;Не согласен;Скорее не согласен;Согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Согласен;Не согласен;Скорее не согласен;Где-то посередине;Согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Согласен
65984251;Женщина;50;Город с численностью менее 50 тысяч;Среднее общее (11 классов);20 + лет;20 + лет;"Транспорт;";1000+ человек;1;1;15 000 — 30 000;Нет;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Скорее редко;Иногда;Иногда;Редко;Редко;Практически никогда;Иногда;Практически всегда;Иногда;Практически всегда;Скорее редко;Часто;Скорее часто;Редко;Практически всегда;Часто;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Иногда;Практически всегда;Практически всегда;Иногда;Иногда;Скорее редко;Практически никогда;Редко;Скорее часто;Часто;Практически всегда;Практически всегда;Скорее редко;Часто;Скорее редко;Практически всегда;Иногда;Практически всегда;Практически всегда;Практически никогда;Иногда;Практически всегда;Практически всегда;Иногда;Практически всегда;Часто;Практически никогда;Практически всегда;Часто;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Абсолютно не согласен;Частично согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Абсолютно не согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Согласен;Согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Согласен;Где-то посередине;Где-то посередине;Где-то посередине;Согласен
65984229;Женщина;43;Город с численностью от 100 тысяч до 500 тысяч;Высшее;20 + лет;3-5 лет;"Продажи, закупки;";1000+ человек;специалист;30;30 000 — 60 000;Нет;Часто;Часто;Скорее часто;Редко;Редко;Часто;Часто;Часто;Редко;Редко;Скорее часто;Редко;Скорее часто;Часто;Часто;Скорее часто;Иногда;Редко;Часто;Скорее часто;Редко;Редко;Иногда;Иногда;Часто;Редко;Редко;Скорее часто;Скорее часто;Иногда;Часто;Скорее часто;Часто;Скорее редко;Иногда;Скорее редко;Часто;Скорее часто;Часто;Скорее часто;Скорее редко;Часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Скорее часто;Редко;Иногда;Скорее часто;Скорее часто;Часто;Иногда;Иногда;Часто;Иногда;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Абсолютно не согласен;Абсолютно не согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Не согласен;Не согласен;Скорее не согласен;Скорее согласен;Не согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Где-то посередине;Скорее согласен
65984113;Женщина;38;Город с численностью жителей миллион и более человек;Основное общее (9 классов);5-10 лет;1-3 года;"Маркетинг, реклама, PR;";1000+ человек;Информационный менеджер,фрилансер;90;30 000 — 60 000;Нет;Часто;Скорее часто;Часто;Скорее часто;Иногда;Скорее часто;Часто;Скорее часто;Редко;Скорее редко;Практически всегда;Иногда;Часто;Скорее редко;Часто;Часто;Скорее часто;Практически всегда;Практически всегда;Скорее часто;Иногда;Иногда;Скорее часто;Часто;Практически всегда;Скорее редко;Иногда;Иногда;Иногда;Скорее часто;Скорее часто;Практически всегда;Скорее часто;Иногда;Скорее редко;Иногда;Часто;Часто;Практически всегда;Иногда;Часто;Практически всегда;Скорее часто;Часто;Часто;Часто;Иногда;Иногда;Скорее часто;Иногда;Иногда;Часто;Часто;Скорее часто;Иногда;Часто;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Согласен;Скорее согласен;Где-то посередине;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Не согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине
65984102;Женщина;35;Город с численностью жителей миллион и более человек;Высшее;5-10 лет;10-15 лет;Спорт и туризм;До 50 человек;Инструктор тренер;80;100 000 — 150 000;Нет;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Скорее редко;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Практически всегда;Редко;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Скорее редко;Практически всегда;Практически всегда;Практически всегда;Редко;Иногда;Практически никогда;Редко;Практически никогда;Скорее редко;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Скорее редко;Редко;Скорее часто;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Практически всегда;Иногда;Практически никогда;Практически никогда;Практически всегда;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Частично согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Абсолютно не согласен;Абсолютно не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Согласен;Не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен
65984085;Мужчина;40;Город с численностью от 50 тысяч до 100 тысяч;Основное общее (9 классов);0-1 года;0-1 года;"Обслуживание;";До 50 человек;строитель;50;60 000 — 100 000;Нет;Скорее часто;Часто;Скорее часто;Скорее часто;Скорее часто;Часто;Часто;Часто;Иногда;Скорее редко;Скорее часто;Иногда;Часто;Скорее часто;Часто;Часто;Часто;Иногда;Часто;Часто;Скорее редко;Редко;Иногда;Иногда;Часто;Практически никогда;Иногда;Часто;Часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Иногда;Иногда;Иногда;Скорее часто;Иногда;Скорее часто;Скорее редко;Иногда;Скорее часто;Скорее часто;Часто;Иногда;Скорее часто;Иногда;Скорее часто;Иногда;Часто;Скорее часто;Иногда;Скорее редко;Иногда;Скорее редко;Скорее часто;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Согласен;Скорее согласен;Согласен;Согласен;Где-то посередине;Согласен;Согласен;Согласен
65984080;Мужчина;35;Город с численностью от 100 тысяч до 500 тысяч;Среднее общее (11 классов);5-10 лет;5-10 лет;"Транспорт;";До 50 человек;Автодиагност;100;15 000 — 30 000;Нет;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Часто;Практически всегда;Редко;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Скорее редко;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Практически всегда;Иногда;Иногда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Редко;Практически всегда;Иногда;Редко;Практически никогда;Практически никогда;Практически никогда;Редко;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Согласен;Скорее согласен;Согласен;Согласен;Где-то посередине;Согласен;Согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Согласен;Согласен;Где-то посередине;Согласен;Согласен;Согласен;Согласен;Согласен
