ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65992263,Женщина,48,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,15-20 лет,"Финансы, бухгалтерия, банки;",1000+ человек,бухгалтер,60,30 000 — 60 000,Нет,20.114224218094026,20.88856957733129,17.632325808790558,11,11,5,12,10,11,12,16,5,7,15
65985522,Мужчина,30,Москва,Неоконченное высшее,10-15 лет,5-10 лет,"Продажи, закупки;",До 50 человек,ИП,100,100 000 — 150 000,Да,28.61757264373978,28.563695686310435,18.632325808790558,14,13,8,13,12,13,20,18,12,15,25
65984452,Мужчина,50,Город с численностью жителей миллион и более человек,Высшее,20 + лет,5-10 лет,Логистика;,До 500 человек,Квалифицированный рабочий,74,30 000 — 60 000,Нет,30.501552714449367,28.793740975762663,17.68269711326022,15,15,6,16,15,14,8,13,10,15,17
65984372,Мужчина,25,Город с численностью от 100 тысяч до 500 тысяч,Высшее,1-3 года,1-3 года,Медицина;,До 1000 человек,врач,30,30 000 — 60 000,Да,30.501552714449367,18.306668555703556,17.73306841772989,20,12,5,12,13,12,9,9,8,13,21
65984251,Женщина,50,Город с численностью менее 50 тысяч,Среднее общее (11 классов),20 + лет,20 + лет,Транспорт;,1000+ человек,1,1,15 000 — 30 000,Нет,17.411987445003138,31.45386407492231,19.632325808790558,16,13,9,14,10,6,14,17,5,10,19
65984229,Женщина,43,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,3-5 лет,"Продажи, закупки;",1000+ человек,специалист,30,30 000 — 60 000,Нет,24.517554012476882,21.97480341467093,14.023089863421827,16,11,3,11,8,7,8,8,5,14,20
65984113,Женщина,38,Город с численностью жителей миллион и более человек,Основное общее (9 классов),5-10 лет,1-3 года,"Маркетинг, реклама, PR;",1000+ человек,"Информационный менеджер,фрилансер",90,30 000 — 60 000,Нет,23.575442446124054,28.65823278566843,15.827707836106192,19,17,7,18,8,10,17,16,10,14,17
65984102,Женщина,35,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,10-15 лет,Спорт и туризм,До 50 человек,Инструктор тренер,80,100 000 — 150 000,Нет,30.501552714449367,23.385339591104824,19.632325808790558,24,18,12,20,9,10,20,20,15,15,25
65984085,Мужчина,40,Город с численностью от 50 тысяч до 100 тысяч,Основное общее (9 классов),0-1 года,0-1 года,Обслуживание;,До 50 человек,строитель,50,60 000 — 100 000,Нет,26.1441880409566,22.91853781190456,13.168100586267796,20,17,9,18,15,11,16,15,8,14,23
65984080,Мужчина,35,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),5-10 лет,5-10 лет,Транспорт;,До 50 человек,Автодиагност,100,15 000 — 30 000,Нет,30.501552714449367,29.549750971352612,14.502390145866375,24,20,12,18,11,8,19,17,10,13,25
65984069,Женщина,47,Поселок городского типа,Неоконченное высшее,20 + лет,10-15 лет,Образование;,До 50 человек,младший воспитатель,37,15 000 — 30 000,Нет,24.711463684848734,22.141591851345012,14.023089863421827,15,18,6,18,6,7,9,16,10,15,18
65984064,Мужчина,46,Поселок городского типа,Два и более высших и/или научная степень,20 + лет,3-5 лет,Обслуживание;,1000+ человек,почтальон,100,30 000 — 60 000,Нет,25.288944904165245,12.44880092346748,16.68269711326022,16,12,6,15,8,7,15,9,8,10,11
65984061,Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,3-5 лет,Обслуживание;,До 1000 человек,лаборант,90,30 000 — 60 000,Нет,23.413457395943553,25.01442470833486,15.827707836106192,14,11,6,14,10,10,10,17,10,14,24
65983950,Женщина,41,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,5-10 лет,0-1 года,фриланс,До 50 человек,копирайтер,50,30 000 — 60 000,Да,16.640839615310846,20.118614866783517,10.218471890737462,12,12,7,11,6,6,10,14,8,11,15
65983938,Мужчина,46,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),20 + лет,20 + лет,Производство;,1000+ человек,волочильщик,100,60 000 — 100 000,Нет,24.575442446124054,24.919887608976868,14.023089863421827,16,17,8,16,11,10,12,14,12,13,19
65983937,Мужчина,30,Город с численностью от 100 тысяч до 500 тысяч,Высшее,5-10 лет,10-15 лет,Медицина;,До 500 человек,врач,10000,30 000 — 60 000,Да,27.87491868596965,24.981465377406344,13.029193053984853,16,19,9,15,16,14,15,11,3,13,18
65983932,Женщина,34,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,1-3 года,энергетика,1000+ человек,инженер,70,30 000 — 60 000,Нет,21.264285955517447,23.940494286670106,14.218471890737462,15,11,9,10,6,4,13,13,12,9,21
65983907,Женщина,42,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,10-15 лет,0-1 года,Медицина;,До 500 человек,начальник отдела кадров,90,30 000 — 60 000,Да,29.61757264373978,31.527794496587067,14.884182331138884,20,18,12,15,13,12,11,14,12,9,22
