ID ответа;Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);В своей работе я знаю, что делаю и зачем (Шкала);У меня есть представление о конечном результате моей работы (Шкала);Я четко представляю цель своих действий на всех этапах труда (Шкала);Я слабо представляю, к какому конечному результату приводят мои действия на работе (Шкала);На работе я делаю, что говорят, и не обдумываю это лишний раз (Шкала);То, что я делаю на работе, приносит людям пользу (Шкала);Моя работа полезна для большого количества людей (Шкала);Результат моей работы делает жизнь людей лучше (Шкала);Моя работа бесполезна для людей (Шкала);Результат моего труда бесполезен для людей (Шкала);Когда я выполняю свою работу, я думаю, о том как это повлияет на других людей (Шкала);Влияние моей работы на других людей не сказывается на моей заинтересованности (Шкала);Мысль об общественной полезности моей работы улучшает качество моего труда (Шкала);Есть определенный, зафиксированный стандарт выполнения моей работы (Шкала);Другие люди могут оценить, насколько хорошо сделана моя работа (Шкала);Другие люди знают и одобряют мою работу (Шкала);Только я имею представление об ожидаемом результате моей работы (Шкала);Цели, которые я ставлю в своей работе, никто не контролирует (Шкала);Я чувствую важность того, чтобы моя работа была сделана (Шкала);Для людей важно, чтобы я продолжал делать свою работу (Шкала);Если я перестану делать свою работу, это могут и не заметить (Шкала);Мир не станет хуже без моей работы (Шкала);Я чувствую дискомфорт, если моя работа “плохо идёт”, даже если меня не наказывают за это (Шкала);Меня беспокоит, если мне не удаётся соответствовать поставленному плану во время работы, даже если меня не наказывают за это (Шкала);То, насколько успешно идёт моя работа, влияет на моё настроение (Шкала);Если меня не накажут, то задержка в выполнении работы вряд ли меня расстроит (Шкала);Если меня не наказывают/награждают, то качество моей работы меня не волнует (Шкала);Я думаю, что средства которые я использую для своей работы, эффективны (Шкала);Я знаю, почему я использую для работы те, а не иные средства (Шкала);Я понимаю, почему для моей работы больше подходят те средства, которые я использую (Шкала);Я понимаю, какие ограничения имеют используемые мной в работе средства (Шкала);Бывает, что я сам(а) дорабатываю средства для большей эффективности работы (Шкала);Я практически не думаю о том, какие средства использую для работы (Шкала);Я не задумываюсь об эффективности используемых в моей работе средств (Шкала);Я использую нестандартные/малораспространенные техники, “трюки”, чтобы эффективнее делать свою работу (Шкала);Средства, которые я использую в работе, достаточно просты в обращении и не требуют развития навыков (Шкала);Для меня важно, какие средства  и навыки я использую в работе (Шкала);Удобство рабочих средств влияет на моё настроение (Шкала);Уровень моих рабочих навыков влияет на моё настроение (Шкала);Многое в рабочих средствах меня раздражает (Шкала);Многое в рабочих средствах меня радует (Шкала);Мне доставляет удовольствие осваивать новые средства труда (Шкала);Я чувствую, что моя работа является частью большой системы (Шкала);Я часто думаю о людях, которые стоят за средствами используемыми мной в работе (Шкала);Моя работа тесно связана с работой моих коллег (Шкала);Моя работа часть большого производственного цикла (Шкала);Без результатов моего труда многие процессы в организации остановятся (Шкала);Я нахожу свою работу изолированной от того, что делают другие люди (Шкала);Результат моей работы во многом зависит от работы других людей (Шкала);Я испытываю уважение к результатам труда моих коллег (Шкала);Меня вдохновляет мысль о людях, с которыми меня связывает работа (Шкала);Я чувствую ответственность перед теми, кто делает мою работу возможной (Шкала);Я расстраиваюсь, если создаю помехи для работы коллег (Шкала);Моя работа слабо зависит от работы других людей в организации (Шкала);Меня расстраивает, когда помехи в моей работе мешают работе организации (Шкала);Меня радует, когда я эффективно использую результат работы коллег (Шкала);Мне говорят, что я много думаю о том, что делаю на работе (Шкала);Я рассказываю своему окружению о том, что делаю на работе (Шкала);Другие люди говорят, что моя работа важна (Шкала);Мне говорят, что моя работа полезна (Шкала);Мои знакомые охотно рассказывают другим о моей работе (Шкала);Окружение меня осуждает, когда я не делаю свою работу (Шкала);Я не могу заняться чем-то ещё, зная что работа не выполнена (Шкала);Я могу отменить встречу с друзьями, если надо доделать рабочие задачи (Шкала);Я могу остаться после завершение рабочего дня по собственной инициативе (Шкала);Я хожу на выставки/конференции по теме моей работы в свободное время (Шкала);В свободное время я читаю профильную литературу (Шкала);Я готов вкладывать деньги на покупку вещей для работы (Шкала);Иногда я могу потратить много времени на разработку оптимального решения, даже если от меня этого не требуют (Шкала);Я делюсь интересными “трюками”, которые я придумал в своей работе (Шкала);Я стараюсь не мусорить на рабочем месте (Шкала);Я спрашиваю коллег, как сделать их работу со мной удобнее (Шкала);Я радуюсь, когда вижу людей из моей организации вне работы (Шкала);Я инициирую обсуждение улучшение рабочего процесса для нашего коллектива (Шкала);Я обращаюсь к сотрудникам из других отделов для решения рабочих задач (Шкала);Я люблю рисковать и преодолевать трудности (Шкала);Я визуализирую свои мечты и стараюсь осуществить их (Шкала);Несмотря на возникающие неудачи, я обычно добиваюсь своего (Шкала);Я всегда стараюсь находить обходные пути в сложных ситуациях, и меня ничто не остановит (Шкала);Я воспринимаю трудности как позитивный опыт (Шкала);Если у меня возникает проблема, я беру инициативу в свои руки и решаю ее (Шкала);Я обычно обдумываю несколько путей решения проблем, а не действую импульсивно, по первому побуждению (Шкала);Прежде чем браться за трудное задание, я продумываю различные пути достижения успеха (Шкала);Я приступаю к действиям только после тщательного обдумывания (Шкала);Я смотрю на проблему под разными углами до тех пор, пока не нахожу пути для ее решения (Шкала);Я думаю о возможных последствиях перед тем, как взяться за решение проблемы (Шкала);Я обычно составляю план и следую ему (Шкала);Я разбиваю проблему на части и решаю каждую по отдельности в свое время (Шкала);Я составляю список того, что надо сделать, и стараюсь сначала сфокусироваться на важных пунктах (Шкала);В моих планах я стараюсь учесть различные случайности (Шкала);Я стараюсь быть готовым ко всему (Шкала);Прежде чем действовать, я обдумываю свою стратегию (Шкала);Я думаю на шаг вперед, чтобы предотвратить опасные последствия (Шкала);Я стараюсь разумно распоряжаться своими деньгами, чтобы не было проблем в будущем (Шкала);Советы других людей могут помочь в решении моих проблем (Шкала);Я легко могу найти людей, способных помочь мне принять правильное решение (Шкала);Я часто спрашиваю других, что бы они сделали в моей ситуации (Шкала);Обсуждение с другими своих проблем может дать новый взгляд на ситуацию (Шкала);Если я подавлен, я знаю, кто именно может помочь мне почувствовать себя лучше (Шкала);Другие люди помогают мне почувствовать себя окруженным заботой (Шкала);Когда нахожусь в плохом настроении, я говорю об этом с другими (Шкала);Я доверяю свои чувства другим людям, чтобы построить или укрепить близкие отношения (Шкала);Работа, которую я выполняю, оплачивается компанией справедливо (Шкала);Уровень моей заработной платы соответствует моим квалификации, знаниям, умениям и навыкам (Шкала);Моя заработная плата соответствует моим усилиям (Шкала);Размер моей заработной платы стимулирует меня к труду (Шкала);В нашей компании созданы благоприятные условия труда (Шкала);У меня есть все, что необходимо мне для работы (Шкала);Я могу рассказать о нашей организации как о хорошем месте работы с неплохими условиями труда (Шкала);Меня не устраивает организация труда в нашей организации (Шкала);Наш руководитель воодушевляет меня на работу с высокой отдачей (Шкала);Меня редко хвалят или благодарят за работу (Шкала);Мой непосредственный руководитель часто не понимает или не хочет понять меня (Шкала);У меня сложились хорошие отношения с людьми, с которыми я работаю (Шкала);Люди, с которыми я работаю, уважают меня (Шкала);Мне нравятся люди, с которыми я вместе работаю (Шкала);То, чем я занимаюсь на моей работе, меня интересует (Шкала);За последнее время я добился(ась) успехов на своей работе (Шкала);В работе меня прежде всего привлекает возможность узнавать что-то новое (Шкала);С каждым месяцем я ощущаю, как растут мои профессиональные знания (Шкала);Процесс работы доставляет мне удовольствие (Шкала);Мне трудно чем-либо мотивировать себя в работе (Шкала);Я безразличен к своей работе (Шкала);Я не испытываю интеллектуального вовлечения в свою работу (Шкала);Я эмоционально отстранен от своей работы (Шкала);Мое отношение к работе можно охарактеризовать как пассивное (Шкала);Если я сразу не найду чего-то, что необходимо для выполнения рабочего задания, то достаточно быстро прекращу поиски (Шкала);Хотя я и выполняю все, что мне поручено, я обычно не работаю усердней, чем необходимо (Шкала);Работа с результатом среднего качества кажется мне вполне допустимой (Шкала);Когда появляются новые рабочие задачи, я не возражаю, если за них берутся другие (Шкала);Обычно я не проявляю инициативу, когда начальство распределяет задания (Шкала);Специалист, который не может дать четкий ответ, возможно, не слишком много знает (Шкала);Хорошая работа – это та, на которой всегда ясно, что и как это нужно делать (Шкала);В долговременной перспективе добиться большего возможно, решая маленькие и простые проблемы, чем большие и сложные (Шкала);Привычное всегда предпочтительнее незнакомого (Шкала);Человек, который ведет ровную, размеренную жизнь (без особых сюрпризов и неожиданностей), на самом деле должен быть благодарен судьбе (Шкала);Я больше люблю вечеринки со знакомыми людьми, чем те, где большинство людей мне совершенно незнакомы (Шкала);Чем скорее мы придем к единым ценностям и идеалам, тем лучше (Шкала);Люди, которые подчинили свою жизнь расписанию, наверное, лишают себя большинства радостей жизни (Шкала);Интереснее заниматься сложной проблемой, чем решать простую (Шкала);Часто наиболее интересные и заводящие других люди – это те, кто не боится быть оригинальным и непохожим на других (Шкала);Люди, которые настаивают на ответе либо «да», либо «нет», просто не знают, насколько все на самом деле сложно (Шкала);Многие из наиболее важных решений основаны на неполной информации (Шкала);Хороший учитель – это тот, кто заставляет тебя размышлять о твоем взгляде на жизнь (Шкала);В основном моя жизнь близка к идеалу (Шкала);Обстоятельства моей жизни исключительно благоприятны (Шкала);Я полностью удовлетворен моей жизнью (Шкала);У меня есть в жизни то, что мне по настоящему нужно (Шкала);Если бы мне пришлось жить еще раз, я бы оставил все как есть (Шкала)
81800346;Женщина;52;Москва;Высшее;20 + лет;3-5 лет;"Маркетинг, реклама, PR;";1000+ человек;главный специалист;100;60 000 — 100 000;Да;Иногда;Иногда;Скорее часто;Иногда;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Скорее часто;Скорее часто;Иногда;Иногда;Скорее редко;Скорее часто;Иногда;Скорее часто;Практически никогда;Скорее часто;Скорее часто;Скорее часто;Иногда;Иногда;Иногда;Иногда;Скорее часто;Иногда;Скорее редко;Скорее часто;Иногда;Скорее часто;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Редко;Иногда;Иногда;Иногда;Редко;Иногда;Скорее часто;Иногда;Скорее редко;Скорее редко;Редко;Скорее редко;Скорее часто;Редко;Иногда;Редко;Редко;Практически никогда;Скорее часто;Иногда;Практически всегда;Практически никогда;Скорее редко;Редко;Иногда;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен;Нечто среднее;Скорее согласен;Скорее согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее не согласен, чем согласен;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Скорее не согласен;Скорее согласен;Нечто среднее;Скорее согласен;Скорее не согласен
81800305;Женщина;33;Город с численностью от 500 тысяч до 950 тысяч;Два и более высших и/или научная степень;10-15 лет;10-15 лет;"Образование;";До 50 человек;Учитель;100;30 000 — 60 000;Нет;Часто;Практически всегда;Часто;Редко;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Часто;Редко;Скорее часто;Иногда;Практически всегда;Практически всегда;Часто;Иногда;Часто;Часто;Скорее редко;Скорее часто;Иногда;Часто;Практически всегда;Скорее часто;Скорее редко;Практически всегда;Практически всегда;Скорее часто;Практически всегда;Иногда;Скорее редко;Редко;Часто;Часто;Часто;Практически всегда;Практически всегда;Иногда;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Иногда;Часто;Скорее редко;Практически всегда;Иногда;Скорее часто;Иногда;Иногда;Скорее часто;Редко;Скорее часто;Часто;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Скорее редко;Часто;Скорее часто;Скорее редко;Практически никогда;Часто;Иногда;Часто;Практически всегда;Практически всегда;Часто;Практически никогда;Часто;Иногда;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Частично согласен;Полностью согласен;Частично согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Абсолютно не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Не согласен;Скорее не согласен;Не согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Не согласен;Скорее не согласен;Где-то посередине;Не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Не согласен;Не согласен;Нечто среднее;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен, чем согласен;Не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Согласен;Скорее не согласен, чем согласен;Согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Согласен;Согласен;Скорее согласен;Нечто среднее;Полностью согласен;Полностью согласен;Полностью согласен
81800139;Женщина;36;Город с численностью жителей миллион и более человек;Неоконченное высшее;5-10 лет;1-3 года;"Производство;";До 500 человек;Пекарь;25;15 000 — 30 000;Да;Практически всегда;Практически всегда;Часто;Практически никогда;Скорее редко;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Иногда;Иногда;Часто;Практически всегда;Практически никогда;Практически никогда;Часто;Иногда;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Часто;Практически всегда;Практически никогда;Скорее часто;Практически никогда;Редко;Практически никогда;Часто;Часто;Иногда;Скорее редко;Часто;Иногда;Часто;Иногда;Практически всегда;Практически всегда;Скорее редко;Скорее редко;Практически никогда;Практически всегда;Часто;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Иногда;Иногда;Практически всегда;Практически всегда;Скорее часто;Практически никогда;Практически всегда;Скорее редко;Практически никогда;Практически никогда;Иногда;Практически никогда;Иногда;Иногда;Практически никогда;Скорее часто;Практически всегда;Скорее редко;Практически всегда;Частично согласен;Полностью согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Не согласен;Не согласен;Не согласен;Не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Согласен;Согласен;Согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Скорее не согласен;Абсолютно согласен;Абсолютно согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Категорически не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен
81800005;Женщина;52;Город с численностью от 50 тысяч до 100 тысяч;Среднее общее (11 классов);15-20 лет;5-10 лет;Другое;До 1000 человек;оператор;7000;15 000 — 30 000;Затрудняюсь ответить;Практически всегда;Часто;Практически всегда;Практически никогда;Редко;Практически всегда;Практически всегда;Скорее часто;Редко;Редко;Часто;Иногда;Иногда;Практически всегда;Часто;Скорее редко;Иногда;Иногда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Практически всегда;Практически всегда;Скорее часто;Иногда;Редко;Часто;Практически всегда;Скорее редко;Иногда;Скорее редко;Иногда;Часто;Иногда;Иногда;Часто;Практически всегда;Часто;Практически всегда;Практически никогда;Иногда;Практически всегда;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Скорее редко;Иногда;Часто;Практически всегда;Часто;Практически всегда;Скорее редко;Часто;Иногда;Скорее часто;Скорее редко;Скорее часто;Практически всегда;Скорее редко;Часто;Практически всегда;Часто;Иногда;Практически никогда;Иногда;Редко;Иногда;Скорее часто;Практически всегда;Часто;Иногда;Часто;Иногда;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Не согласен;Где-то посередине;Согласен;Скорее согласен;Согласен;Где-то посередине;Не согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Не согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Нечто среднее;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Нечто среднее;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Полностью не согласен;Полностью не согласен;Полностью не согласен;Полностью не согласен;Полностью не согласен
81799991;Женщина;40;Город с численностью от 50 тысяч до 100 тысяч;Неоконченное высшее;5-10 лет;1-3 года;"Продажи, закупки;";1000+ человек;кассир;20000;15 000 — 30 000;Затрудняюсь ответить;Скорее часто;Скорее редко;Практически никогда;Скорее часто;Скорее часто;Скорее редко;Практически никогда;Практически никогда;Часто;Иногда;Практически никогда;Иногда;Практически никогда;Часто;Иногда;Редко;Редко;Редко;Скорее редко;Скорее редко;Скорее редко;Часто;Иногда;Скорее редко;Иногда;Скорее часто;Иногда;Редко;Иногда;Иногда;Скорее часто;Иногда;Иногда;Скорее часто;Иногда;Иногда;Иногда;Редко;Иногда;Часто;Практически никогда;Практически никогда;Практически никогда;Иногда;Скорее часто;Редко;Практически никогда;Практически никогда;Скорее редко;Практически никогда;Практически никогда;Практически никогда;Иногда;Скорее часто;Редко;Иногда;Иногда;Скорее редко;Практически никогда;Скорее редко;Практически никогда;Редко;Иногда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Иногда;Практически никогда;Скорее часто;Редко;Иногда;Практически никогда;Иногда;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Частично согласен;Абсолютно не согласен;Абсолютно не согласен;Абсолютно не согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Не согласен;Не согласен;Не согласен;Не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Согласен;Не согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Не согласен;Где-то посередине;Скорее не согласен;Не согласен;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Абсолютно согласен;Скорее не согласен, чем согласен;Абсолютно согласен;Затрудняюсь ответить;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Полностью не согласен;Полностью не согласен;Полностью не согласен;Не согласен;Полностью не согласен
81799923;Женщина;32;Город с численностью от 100 тысяч до 500 тысяч;Высшее;10-15 лет;5-10 лет;"Образование;";До 500 человек;делопроизводитель;75;30 000 — 60 000;Нет;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Скорее часто;Практически всегда;Часто;Практически всегда;Практически никогда;Практически никогда;Часто;Практически никогда;Скорее часто;Скорее часто;Часто;Практически всегда;Иногда;Практически никогда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Часто;Скорее часто;Скорее часто;Практически никогда;Практически никогда;Часто;Часто;Иногда;Скорее часто;Практически всегда;Иногда;Практически никогда;Скорее часто;Скорее редко;Практически всегда;Скорее часто;Практически всегда;Редко;Практически всегда;Практически всегда;Часто;Скорее часто;Практически всегда;Практически всегда;Часто;Редко;Редко;Практически всегда;Часто;Практически всегда;Иногда;Иногда;Часто;Иногда;Практически никогда;Иногда;Часто;Часто;Часто;Практически никогда;Часто;Часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Практически всегда;Практически всегда;Часто;Часто;Часто;Часто;Абсолютно не согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Не согласен;Согласен;Не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Не согласен;Не согласен;Не согласен;Скорее согласен;Не согласен;Не согласен;Скорее не согласен;Не согласен;Скорее согласен;Нечто среднее;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Согласен
