ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
86099671,Мужчина,37,Москва,Неоконченное высшее,10-15 лет,10-15 лет,Другое,До 50 человек,Руководитель отдела,50,60 000 — 100 000,Затрудняюсь ответить,15.206159745795585,18.08142014204174,12.971010833059772,15,15,7,15,7,9,13,12,11,14,24,5,5,28,35,24
86070696,Женщина,51,Город с численностью от 500 тысяч до 950 тысяч,Два и более высших и/или научная степень,20 + лет,1-3 года,Торговля;,До 500 человек,руководитель розницы,100,30 000 — 60 000,Да,22.863067998374994,18.06144249692538,25.671346683164565,18,16,8,17,7,8,4,11,5,15,18,11,11,29,28,22
86069980,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,3-5 лет,Медицина;,До 500 человек,администратор,100,30 000 — 60 000,Нет,23.67031275461949,23.419617359903313,21.66531148203328,22,16,6,14,12,10,12,12,10,13,24,9,13,38,35,28
86069691,Мужчина,32,Москва,Высшее,5-10 лет,5-10 лет,Другое,До 500 человек,руководитель отдела,100,60 000 — 100 000,Затрудняюсь ответить,20.86949452891281,18.803556133213654,25.78323779702533,21,20,11,20,14,10,20,20,15,15,25,6,11,38,32,24
86068562,Женщина,38,Город с численностью менее 50 тысяч,Высшее,15-20 лет,0-1 года,Обслуживание;,До 50 человек,специалист,100,30 000 — 60 000,Нет,18.555678023753995,23.419617359903313,28.78323779702533,20,19,12,20,10,11,20,20,13,15,25,5,8,29,29,23
86068422,Женщина,48,Москва,Высшее,20 + лет,15-20 лет,"Маркетинг, реклама, PR;",1000+ человек,юрист,100,150 000 — 200 000,Нет,19.941449515476446,24.20893854280128,17.977046034191055,20,20,12,18,8,9,10,17,10,15,24,7,8,29,34,24
86067155,Мужчина,40,Санкт-Петербург,Два и более высших и/или научная степень,20 + лет,15-20 лет,Производство;,До 50 человек,мастер цеха,50,60 000 — 100 000,Нет,16.163741005705177,23.419617359903313,19.194793060781294,19,19,8,15,10,7,16,16,8,15,25,5,5,32,39,23
86067082,Женщина,37,Город с численностью от 500 тысяч до 950 тысяч,Два и более высших и/или научная степень,5-10 лет,5-10 лет,Торговля;,1000+ человек,продавец консультант,9000,30 000 — 60 000,Нет,18.03140060681638,24.20893854280128,11.85911971919901,17,19,10,18,9,9,19,20,15,15,25,5,6,43,32,22
86066988,Мужчина,45,Москва,Неоконченное высшее,10-15 лет,3-5 лет,Торговля;,До 1000 человек,менеджер,85,30 000 — 60 000,Да,19.103355593380016,19.96119756807456,27.78323779702533,24,17,10,17,16,15,12,14,11,13,18,16,18,36,34,25
86066884,Женщина,40,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,5-10 лет,Другое,До 500 человек,рабочая,20,30 000 — 60 000,Затрудняюсь ответить,13.549251493216177,20.539839933870493,15.394636499078306,19,20,9,17,10,9,11,13,10,12,20,9,15,40,25,24
86066769,Женщина,30,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,1-3 года,"Финансы, бухгалтерия, банки;",До 500 человек,Менеджер,30000,30 000 — 60 000,Нет,21.941449515476446,17.181665070892564,18.500492411807784,22,18,11,19,13,15,14,16,12,14,25,6,9,37,33,29
