ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a_cosv1,a_cosv2,a_cosv3,a_cosv4,a_cosv5,a_cosv6,a_cosv7,a_cosv8,a_cosv9,a_cosv10,a_cosv11,a_cosv12,a_cosv13,a_cosv14,a_cosv15,a_cosv16,a_cosv17,a_cosv18,a_cosv19,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,s1,s2,s3,s4,s5,a_sum_1,a_sum_2,a_sum_3,a_sum_4,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
86099671,Мужчина,37,Москва,Неоконченное высшее,10-15 лет,10-15 лет,Другое,До 50 человек,Руководитель отдела,50,60 000 — 100 000,Затрудняюсь ответить,6,7,6,3,7,5,5,5,2,7,6,4,6,5,5,5,5,3,6,6,4,7,6,6,5,5,6,5,4,4,6,5,5,6,4,5,5,5,2,4,5,6,7,5,5,6,5,7,2,6,5,4,4,5,2,5,1,3,6,5,5,3,5,4,5,4,7,3,4,5,3,5,4,6,6,2,3,3,2,2,3,4,3,2,3,3,3,2,2,3,3,3,3,3,2,2,1,2,3,3,1,2,4,3,3,3,3,3,3,3,3,3,5,5,4,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,3,3,3,5,3,5,6,5,5,6,7,7,5,4,6,5,5,4,89,95,90,92,15,15,7,15,7,9,13,12,11,14,24,5,5,28,35,24
86070696,Женщина,51,Город с численностью от 500 тысяч до 950 тысяч,Два и более высших и/или научная степень,20 + лет,1-3 года,Торговля;,До 500 человек,руководитель розницы,100,30 000 — 60 000,Да,6,7,7,6,6,5,6,5,7,7,6,6,5,6,6,6,5,5,7,6,7,5,5,7,6,2,2,7,7,7,6,7,2,2,3,5,7,5,6,4,4,6,4,6,7,6,5,6,6,6,6,6,6,2,7,7,6,4,5,4,4,5,6,5,4,6,7,4,5,5,7,6,7,7,6,1,3,4,4,2,4,3,2,4,3,4,3,3,2,2,3,4,4,4,2,2,1,2,2,2,1,3,1,1,1,1,1,4,4,2,2,1,2,5,5,5,5,5,2,4,2,3,2,2,2,2,2,2,1,4,2,5,2,5,5,3,6,3,2,5,5,5,6,5,4,5,4,6,3,102,101,99,113,18,16,8,17,7,8,4,11,5,15,18,11,11,29,28,22
86069980,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,3-5 лет,Медицина;,До 500 человек,администратор,100,30 000 — 60 000,Нет,7,7,7,1,1,7,7,7,7,7,7,7,6,7,7,6,3,4,7,5,4,4,5,7,7,6,6,6,6,7,7,6,3,6,6,2,6,6,3,3,6,7,6,7,7,6,7,4,7,6,6,7,2,6,6,7,7,6,6,7,4,1,6,4,3,3,2,3,7,6,7,7,7,7,2,4,2,4,4,4,4,4,2,4,4,2,2,2,2,4,2,2,2,4,2,4,2,4,4,3,1,2,4,3,3,2,3,3,4,2,3,5,2,5,5,3,5,5,5,5,4,4,1,2,1,1,1,1,3,5,3,6,6,6,6,6,2,6,6,5,6,6,6,6,5,6,6,5,6,108,95,98,114,22,16,6,14,12,10,12,12,10,13,24,9,13,38,35,28
86069691,Мужчина,32,Москва,Высшее,5-10 лет,5-10 лет,Другое,До 500 человек,руководитель отдела,100,60 000 — 100 000,Затрудняюсь ответить,7,7,6,7,4,7,1,7,7,7,6,7,7,6,6,7,1,6,7,7,7,6,3,2,7,4,4,6,7,7,5,4,4,4,4,3,7,6,7,2,7,7,7,6,7,7,6,7,6,7,7,6,4,5,4,7,4,4,6,6,5,2,6,4,4,4,5,4,6,4,7,5,7,6,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,3,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,3,1,2,4,3,7,4,5,6,6,7,5,6,7,4,4,6,5,5,5,5,4,105,93,99,115,21,20,11,20,14,10,20,20,15,15,25,6,11,38,32,24
86068562,Женщина,38,Город с численностью менее 50 тысяч,Высшее,15-20 лет,0-1 года,Обслуживание;,До 50 человек,специалист,100,30 000 — 60 000,Нет,7,7,7,7,4,7,7,7,7,7,7,4,7,7,6,7,1,4,7,7,7,5,7,7,7,1,6,7,7,7,7,4,4,4,4,4,7,6,7,2,7,7,7,6,4,7,4,4,3,5,5,6,5,2,7,7,5,7,6,6,4,2,7,4,4,2,2,4,4,4,7,4,6,4,4,2,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,2,3,3,3,3,2,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,1,1,2,2,5,5,5,3,3,5,3,6,3,5,5,4,6,5,5,4,5,4,113,98,98,97,20,19,12,20,10,11,20,20,13,15,25,5,8,29,29,23
86068422,Женщина,48,Москва,Высшее,20 + лет,15-20 лет,"Маркетинг, реклама, PR;",1000+ человек,юрист,100,150 000 — 200 000,Нет,7,7,7,7,7,7,7,7,7,7,4,5,4,5,7,7,2,2,7,7,7,4,6,4,4,4,7,7,7,7,7,6,5,4,6,7,7,7,5,4,4,6,7,4,7,7,7,7,6,7,6,7,4,4,4,7,6,1,7,7,2,3,6,4,6,7,7,1,6,4,7,4,6,6,7,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,2,1,2,3,3,2,2,4,5,5,3,3,4,3,5,5,5,5,5,5,4,5,1,1,1,3,1,1,1,1,3,2,2,7,3,5,4,5,3,1,7,7,5,7,7,4,5,5,5,5,106,99,107,114,20,20,12,18,8,9,10,17,10,15,24,7,8,29,34,24
86067155,Мужчина,40,Санкт-Петербург,Два и более высших и/или научная степень,20 + лет,15-20 лет,Производство;,До 50 человек,мастер цеха,50,60 000 — 100 000,Нет,7,7,7,6,6,7,7,7,6,6,6,5,3,6,7,6,2,1,6,6,4,2,6,6,7,3,6,7,7,7,7,7,6,6,7,5,7,7,4,4,7,7,3,6,6,6,5,6,2,6,4,5,4,4,2,3,5,7,6,7,5,2,4,5,7,6,5,7,7,6,7,4,5,5,2,2,4,3,2,4,4,4,4,3,4,4,2,3,3,2,3,4,3,3,2,3,3,2,3,1,1,2,4,4,4,4,4,4,5,3,3,3,2,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,6,7,3,3,2,6,5,7,7,7,7,5,6,4,4,5,5,5,110,92,120,85,19,19,8,15,10,7,16,16,8,15,25,5,5,32,39,23
86067082,Женщина,37,Город с численностью от 500 тысяч до 950 тысяч,Два и более высших и/или научная степень,5-10 лет,5-10 лет,Торговля;,1000+ человек,продавец консультант,9000,30 000 — 60 000,Нет,7,7,5,1,1,7,7,7,7,7,1,7,7,7,7,7,2,4,7,7,7,1,5,4,4,7,7,7,7,7,5,7,4,4,4,1,5,1,1,3,7,7,5,1,7,7,3,7,1,7,5,7,3,3,4,7,3,7,7,7,7,3,1,7,7,1,1,1,4,4,7,7,7,7,3,3,3,3,3,2,3,3,4,4,4,4,4,2,4,4,4,4,3,3,2,3,3,1,4,2,1,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,2,1,6,6,6,6,6,7,6,6,6,6,6,2,6,3,5,5,6,3,102,95,80,98,17,19,10,18,9,9,19,20,15,15,25,5,6,43,32,22
86066988,Мужчина,45,Москва,Неоконченное высшее,10-15 лет,3-5 лет,Торговля;,До 1000 человек,менеджер,85,30 000 — 60 000,Да,7,6,7,7,5,6,6,6,1,7,6,6,6,6,6,5,2,4,6,6,3,1,6,4,7,2,4,6,5,6,7,6,4,6,5,1,6,5,7,3,5,6,6,6,7,7,6,4,4,7,4,6,7,5,6,7,6,7,5,6,6,3,4,6,5,5,4,5,4,7,7,7,6,7,7,4,4,4,4,4,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,5,4,3,3,4,4,4,4,4,3,1,3,4,3,4,4,3,6,3,3,7,7,7,6,6,7,3,5,7,4,5,4,6,6,106,85,98,116,24,17,10,17,16,15,12,14,11,13,18,16,18,36,34,25
86066884,Женщина,40,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,5-10 лет,Другое,До 500 человек,рабочая,20,30 000 — 60 000,Затрудняюсь ответить,7,7,6,6,6,6,6,5,6,6,3,3,4,3,5,4,3,7,6,4,6,6,5,4,3,4,4,5,7,4,4,4,5,4,2,2,4,5,5,2,5,4,6,4,4,6,5,4,4,6,4,5,1,4,3,6,3,6,7,6,6,5,4,4,1,2,1,1,3,4,6,3,4,5,4,2,4,4,3,2,4,4,4,4,4,4,2,3,4,3,4,2,4,4,3,2,2,3,2,2,1,4,2,3,2,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,1,2,3,1,2,2,2,4,5,2,5,6,5,6,5,7,6,2,4,4,4,6,5,4,5,5,5,5,99,80,71,84,19,20,9,17,10,9,11,13,10,12,20,9,15,40,25,24
86066769,Женщина,30,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,1-3 года,"Финансы, бухгалтерия, банки;",До 500 человек,Менеджер,30000,30 000 — 60 000,Нет,5,4,6,4,4,4,5,5,5,3,5,6,6,3,6,5,2,7,5,5,3,4,6,5,5,6,7,6,6,3,2,4,6,3,6,2,6,6,3,5,6,5,6,5,5,6,5,3,4,6,6,7,5,4,6,5,4,2,6,6,2,5,5,5,2,3,5,5,6,4,5,4,6,6,6,4,4,4,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,3,4,3,5,3,3,5,5,5,1,5,3,4,5,4,5,5,5,5,5,5,1,1,1,2,1,2,2,2,2,1,6,4,6,6,5,4,6,6,6,5,5,6,5,6,6,6,5,6,82,89,89,100,22,18,11,19,13,15,14,16,12,14,25,6,9,37,33,29
86066591,Женщина,39,Город с численностью от 50 тысяч до 100 тысяч,Высшее,15-20 лет,1-3 года,Другое,До 50 человек,Финансовый менеджер,100,100 000 — 150 000,Нет,7,7,7,7,3,7,7,4,7,7,1,4,4,6,4,4,4,1,5,4,3,1,6,6,6,4,7,7,7,7,7,4,4,4,2,7,7,7,7,4,6,4,7,1,5,7,4,7,4,5,1,4,1,4,1,7,2,3,7,7,4,1,4,1,1,1,3,1,7,3,7,3,4,4,1,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,3,4,3,4,2,2,5,4,5,5,5,5,4,4,3,2,3,5,5,4,5,5,3,4,4,1,1,3,4,3,1,4,1,3,3,7,5,5,7,4,5,4,5,4,7,7,4,4,3,2,3,5,4,95,69,98,77,21,20,12,19,12,11,19,18,8,14,21,12,12,37,31,17
86066523,Женщина,47,Город с численностью жителей миллион и более человек,Высшее,20 + лет,3-5 лет,Другое,До 50 человек,самозанятый фрилансер в сфере видеосъемки и монтажа,0,0 — 15 000,Нет,7,7,7,6,7,7,6,6,7,7,6,1,7,2,7,6,3,1,6,5,6,7,6,5,6,7,6,5,4,5,5,5,5,5,4,6,5,7,6,4,5,7,4,5,2,1,7,4,1,6,3,6,1,1,1,6,5,5,5,6,4,3,5,5,6,3,6,6,5,5,7,1,5,5,3,2,3,3,3,4,3,3,4,3,3,2,2,2,3,2,3,3,2,3,2,1,1,1,2,2,1,1,3,3,3,1,3,3,3,3,1,5,5,3,4,4,5,3,5,4,5,1,1,1,1,1,1,2,2,1,1,3,3,5,2,2,3,2,4,3,6,6,4,6,4,5,5,5,4,106,95,100,69,18,15,7,13,5,6,10,12,11,11,22,5,7,20,29,23
86066181,Женщина,27,Санкт-Петербург,Неоконченное высшее,5-10 лет,3-5 лет,"Продажи, закупки;",1000+ человек,Продавец-кассир,30,30 000 — 60 000,Нет,6,7,7,7,4,7,7,7,7,7,4,2,5,6,7,3,7,7,7,7,7,7,7,7,7,7,7,7,6,7,5,3,5,4,4,7,4,7,1,2,2,4,7,2,7,7,7,7,1,7,2,1,7,7,7,7,1,4,7,2,3,5,7,1,1,1,1,2,2,4,7,3,4,1,4,1,2,3,4,2,3,1,2,3,3,3,2,2,2,4,3,3,2,3,3,3,2,3,3,4,2,4,2,3,2,2,4,4,3,5,2,4,4,4,4,4,2,4,1,2,2,1,1,2,1,1,1,1,1,5,4,6,6,5,6,3,6,5,5,3,6,3,3,5,4,4,2,5,2,94,108,77,95,15,12,6,15,11,13,9,16,10,12,11,6,12,37,25,17
86065847,Женщина,54,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,10-15 лет,Образование;,До 50 человек,воспитатель,80,15 000 — 30 000,Нет,7,7,4,7,5,6,7,6,7,7,4,1,5,5,3,7,3,4,6,5,2,2,3,3,1,7,7,4,4,3,5,3,3,4,4,3,4,4,3,3,3,4,5,5,4,5,6,7,5,5,1,1,1,1,4,4,4,3,3,3,3,1,6,1,4,4,6,1,3,4,6,4,5,4,4,1,3,2,2,1,3,3,3,2,2,2,2,1,3,2,3,3,2,2,1,2,1,1,3,1,2,2,2,1,2,1,1,1,3,2,2,3,2,4,3,4,4,2,3,3,3,2,1,1,2,1,2,2,2,3,2,2,2,5,2,2,2,2,2,2,2,3,5,3,5,5,5,5,3,89,74,68,77,12,12,6,12,5,8,6,7,7,11,15,7,11,17,17,23
86064683,Женщина,36,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,5-10 лет,Обслуживание;,До 500 человек,Дизайнер,60000,30 000 — 60 000,Нет,6,7,7,7,2,5,3,5,7,6,7,6,7,1,7,5,1,2,7,5,6,7,7,6,7,2,7,6,6,7,5,6,7,5,6,5,6,6,6,4,7,7,1,7,6,1,7,6,3,7,7,7,7,1,7,4,5,7,5,3,6,1,4,4,7,7,7,7,7,6,7,1,6,6,3,3,4,4,4,3,3,2,2,2,2,2,2,4,3,4,4,2,3,2,4,4,1,2,4,1,3,2,3,3,3,4,3,2,2,3,4,5,5,4,5,5,4,3,5,3,5,1,1,1,1,1,1,1,1,1,1,7,3,5,3,3,2,6,6,6,7,3,6,7,5,6,5,4,6,101,93,116,94,21,10,9,15,11,10,13,10,14,14,20,5,5,29,35,26
86064589,Женщина,31,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,1-3 года,Торговля;,1000+ человек,Бухгалтер,50000,30 000 — 60 000,Нет,5,5,6,6,3,5,6,5,3,5,6,5,6,4,6,6,1,5,6,4,7,4,4,6,6,1,3,5,5,6,5,5,2,4,4,2,5,4,6,3,5,5,7,5,7,5,4,4,6,7,6,6,6,3,5,5,4,5,6,6,5,6,7,5,5,4,5,5,6,5,4,5,6,6,5,3,3,3,4,3,3,4,2,3,3,2,3,3,3,3,3,2,2,3,3,2,3,2,4,3,3,4,3,3,3,3,4,4,5,1,5,4,4,5,5,5,2,4,3,3,4,3,2,3,2,2,3,2,3,2,3,4,5,3,5,4,3,5,3,3,5,4,4,4,4,5,3,5,4,92,90,87,102,19,14,9,13,10,14,12,14,13,15,16,12,13,29,23,21
86064207,Мужчина,30,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,5-10 лет,Медицина;,До 500 человек,врач,15,60 000 — 100 000,Затрудняюсь ответить,7,7,6,5,2,7,7,7,7,7,7,4,6,5,5,5,2,7,6,7,4,1,7,4,7,4,6,4,4,4,4,4,2,4,4,4,5,6,7,6,4,4,7,4,7,6,4,5,6,7,3,7,5,2,4,4,2,7,5,6,4,2,7,2,6,6,7,5,2,2,7,1,2,1,6,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,4,4,3,1,1,1,1,2,1,2,3,3,1,2,1,2,3,2,5,5,4,3,3,2,3,1,2,1,1,2,2,3,5,2,5,4,5,4,6,4,4,4,5,5,4,4,3,5,4,5,4,103,93,82,88,15,11,6,11,11,12,5,9,4,7,20,9,13,30,26,21
