ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65992263,Женщина,48,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,15-20 лет,"Финансы, бухгалтерия, банки;",1000+ человек,бухгалтер,60,30 000 — 60 000,Нет,23,22,19,11,11,5,12,10,11,12,16,5,7,15
65985522,Мужчина,30,Москва,Неоконченное высшее,10-15 лет,5-10 лет,"Продажи, закупки;",До 50 человек,ИП,100,100 000 — 150 000,Да,33,30,20,14,13,8,13,12,13,20,18,12,15,25
65984452,Мужчина,50,Город с численностью жителей миллион и более человек,Высшее,20 + лет,5-10 лет,Логистика;,До 500 человек,Квалифицированный рабочий,74,30 000 — 60 000,Нет,35,30,19,15,15,6,16,15,14,8,13,10,15,17
65984372,Мужчина,25,Город с численностью от 100 тысяч до 500 тысяч,Высшее,1-3 года,1-3 года,Медицина;,До 1000 человек,врач,30,30 000 — 60 000,Да,35,19,19,20,12,5,12,13,12,9,9,8,13,21
65984251,Женщина,50,Город с численностью менее 50 тысяч,Среднее общее (11 классов),20 + лет,20 + лет,Транспорт;,1000+ человек,1,1,15 000 — 30 000,Нет,20,33,21,16,13,9,14,10,6,14,17,5,10,19
65984229,Женщина,43,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,3-5 лет,"Продажи, закупки;",1000+ человек,специалист,30,30 000 — 60 000,Нет,28,23,15,16,11,3,11,8,7,8,8,5,14,20
65984113,Женщина,38,Город с численностью жителей миллион и более человек,Основное общее (9 классов),5-10 лет,1-3 года,"Маркетинг, реклама, PR;",1000+ человек,"Информационный менеджер,фрилансер",90,30 000 — 60 000,Нет,27,30,17,19,17,7,18,8,10,17,16,10,14,17
65984102,Женщина,35,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,10-15 лет,Спорт и туризм,До 50 человек,Инструктор тренер,80,100 000 — 150 000,Нет,35,24,21,24,18,12,20,9,10,20,20,15,15,25
65984085,Мужчина,40,Город с численностью от 50 тысяч до 100 тысяч,Основное общее (9 классов),0-1 года,0-1 года,Обслуживание;,До 50 человек,строитель,50,60 000 — 100 000,Нет,30,24,14,20,17,9,18,15,11,16,15,8,14,23
65984080,Мужчина,35,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),5-10 лет,5-10 лет,Транспорт;,До 50 человек,Автодиагност,100,15 000 — 30 000,Нет,35,31,15,24,20,12,18,11,8,19,17,10,13,25
65984069,Женщина,47,Поселок городского типа,Неоконченное высшее,20 + лет,10-15 лет,Образование;,До 50 человек,младший воспитатель,37,15 000 — 30 000,Нет,28,23,15,15,18,6,18,6,7,9,16,10,15,18
65984064,Мужчина,46,Поселок городского типа,Два и более высших и/или научная степень,20 + лет,3-5 лет,Обслуживание;,1000+ человек,почтальон,100,30 000 — 60 000,Нет,29,13,18,16,12,6,15,8,7,15,9,8,10,11
65984061,Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,3-5 лет,Обслуживание;,До 1000 человек,лаборант,90,30 000 — 60 000,Нет,27,26,17,14,11,6,14,10,10,10,17,10,14,24
65983950,Женщина,41,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,5-10 лет,0-1 года,фриланс,До 50 человек,копирайтер,50,30 000 — 60 000,Да,19,21,11,12,12,7,11,6,6,10,14,8,11,15
65983938,Мужчина,46,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),20 + лет,20 + лет,Производство;,1000+ человек,волочильщик,100,60 000 — 100 000,Нет,28,26,15,16,17,8,16,11,10,12,14,12,13,19
65983937,Мужчина,30,Город с численностью от 100 тысяч до 500 тысяч,Высшее,5-10 лет,10-15 лет,Медицина;,До 500 человек,врач,10000,30 000 — 60 000,Да,32,26,14,16,19,9,15,16,14,15,11,3,13,18
65983932,Женщина,34,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,1-3 года,энергетика,1000+ человек,инженер,70,30 000 — 60 000,Нет,24,25,15,15,11,9,10,6,4,13,13,12,9,21
65983907,Женщина,42,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,10-15 лет,0-1 года,Медицина;,До 500 человек,начальник отдела кадров,90,30 000 — 60 000,Да,34,33,16,20,18,12,15,13,12,11,14,12,9,22
65983879,Женщина,49,Город с численностью жителей миллион и более человек,Высшее,20 + лет,10-15 лет,"Финансы, бухгалтерия, банки;",До 50 человек,начальник отдела кадров,80,30 000 — 60 000,Да,27,28,9,16,16,8,15,8,9,4,6,6,14,21
65983821,Женщина,38,Москва,Высшее,10-15 лет,10-15 лет,Медицина;,До 500 человек,Врач,150000,150 000 — 200 000,Нет,35,34,18,24,20,12,20,13,16,20,20,11,15,25
65983693,Женщина,30,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,5-10 лет,3-5 лет,Образование;,До 500 человек,преподаватель,50,15 000 — 30 000,Нет,34,31,16,14,18,9,17,10,11,4,12,13,13,22
65983688,Мужчина,32,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,5-10 лет,Производство;,1000+ человек,начальник бюро,70,100 000 — 150 000,Да,25,24,15,16,15,8,14,12,10,12,12,9,12,19
65983457,Женщина,39,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,15-20 лет,Красота и здоровье;,До 1000 человек,врач,30,30 000 — 60 000,Нет,21,23,18,17,20,10,14,10,12,8,11,6,10,16
65983150,Женщина,42,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,10-15 лет,"Финансы, бухгалтерия, банки;",1000+ человек,Менеджер 2 линии,80000,60 000 — 100 000,Нет,26,30,14,22,18,7,20,6,11,20,12,11,15,20
65982988,Женщина,30,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,5-10 лет,"Финансы, бухгалтерия, банки;",До 500 человек,Гл. бухгалтер,100,60 000 — 100 000,Затрудняюсь ответить,33,24,20,18,20,10,17,12,13,12,17,14,15,20
65982978,Мужчина,55,Город с численностью жителей миллион и более человек,Высшее,20 + лет,10-15 лет,Торговля;,1000+ человек,начальник отдела,100,30 000 — 60 000,Нет,12,26,13,11,17,9,17,7,6,4,8,5,11,8
65982952,Мужчина,41,Город с численностью от 100 тысяч до 500 тысяч,Высшее,5-10 лет,3-5 лет,"Продажи, закупки;",1000+ человек,кладовщик,50,30 000 — 60 000,Нет,23,20,12,15,12,9,10,12,9,12,13,9,10,16
65982903,Мужчина,43,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,10-15 лет,Строительствол,До 50 человек,Руководитель отдела,100,30 000 — 60 000,Нет,13,9,6,14,16,9,15,12,9,10,17,11,13,19
65982888,Женщина,33,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,10-15 лет,Образование;,До 500 человек,руководитель,100,60 000 — 100 000,Нет,35,33,20,18,15,10,15,8,9,16,16,12,12,21
65982770,Женщина,35,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,5-10 лет,"Продажи, закупки;",До 500 человек,кассир-операционист,80,30 000 — 60 000,Да,26,31,15,20,20,10,16,10,11,13,12,13,15,17
65982754,Женщина,35,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,5-10 лет,спорт,До 500 человек,заместитель главного бухгалтера,100,15 000 — 30 000,Да,31,23,21,17,20,10,16,11,10,4,12,7,14,18
65982687,Женщина,37,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),10-15 лет,1-3 года,Обслуживание;,До 1000 человек,Уборщица,100,15 000 — 30 000,Да,27,23,10,16,18,7,16,6,7,15,20,13,14,13
65982558,Женщина,37,Город с численностью жителей миллион и более человек,Неоконченное высшее,10-15 лет,3-5 лет,Образование;,До 500 человек,специалист,100,15 000 — 30 000,Да,29,22,19,18,16,10,18,8,9,10,14,10,13,20
65982555,Женщина,40,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),10-15 лет,1-3 года,Медицина;,До 1000 человек,медицинский работник,15000,15 000 — 30 000,Нет,33,33,21,15,18,10,15,9,12,16,18,8,14,20
65982539,Женщина,29,Москва,Высшее,5-10 лет,5-10 лет,Производство;,1000+ человек,зам начальника,15000,30 000 — 60 000,Нет,30,27,15,22,17,9,15,9,12,17,19,13,15,22
65982521,Женщина,36,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,10-15 лет,Транспорт;,1000+ человек,главный специалист по привлечению клиентов,40,30 000 — 60 000,Да,31,31,19,17,15,11,15,8,6,7,16,9,12,17
65982449,Женщина,33,Санкт-Петербург,Два и более высших и/или научная степень,10-15 лет,5-10 лет,Образование;,До 1000 человек,специалист,56000,30 000 — 60 000,Нет,17,17,10,11,10,6,10,7,6,20,16,7,15,25
65982394,Мужчина,32,Москва,Среднее общее (11 классов),3-5 лет,3-5 лет,фриланс,До 50 человек,Человек,80000,60 000 — 100 000,Затрудняюсь ответить,19,19,19,21,17,12,20,7,7,19,13,10,12,20
65982367,Женщина,52,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,20 + лет,10-15 лет,Торговля;,До 50 человек,специалист,50,15 000 — 30 000,Затрудняюсь ответить,26,24,15,19,17,11,19,8,10,13,18,13,13,20
65982307,Женщина,25,Город с численностью от 50 тысяч до 100 тысяч,Высшее,3-5 лет,0-1 года,Красота и здоровье;,До 50 человек,Администратор,95,30 000 — 60 000,Да,35,34,21,23,17,8,18,8,12,13,13,11,13,21
65982238,Женщина,53,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,0-1 года,Торговля;,1000+ человек,продавец-консультант,50,30 000 — 60 000,Нет,34,27,20,14,13,5,14,7,8,12,15,9,13,20
65981863,Женщина,33,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),10-15 лет,3-5 лет,Обслуживание;,До 50 человек,фотограф,3498,30 000 — 60 000,Да,29,30,17,18,12,9,15,11,10,17,17,9,14,24
65981770,Женщина,32,Город с численностью от 100 тысяч до 500 тысяч,Высшее,5-10 лет,5-10 лет,"Продажи, закупки;",До 50 человек,продавец,15000,15 000 — 30 000,Да,26,26,15,20,17,7,19,15,13,15,14,10,13,19
65981724,Женщина,45,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,15-20 лет,5-10 лет,Логистика;,До 1000 человек,оператор,100,15 000 — 30 000,Да,31,26,21,17,15,7,14,7,11,7,11,7,15,13
65981720,Мужчина,47,Москва,Высшее,20 + лет,3-5 лет,Логистика;,1000+ человек,Логист,90,60 000 — 100 000,Затрудняюсь ответить,34,30,19,17,15,7,14,7,7,15,17,11,13,25
