Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);Я чувствую, что мы с коллегами делаем одно дело (Шкала);Я испытываю уважение к своим коллегам (Шкала);Я думаю, что есть коллеги, без которых компания могла бы легко обойтись (Шкала);У нас в компании есть своя культура и я чувствую себя её частью (Шкала);Мне важно мнение моих коллег о моей работе (не только моего руководителя) (Шкала);Я радуюсь, когда вижу людей из моей организации вне работы (Шкала);Я думаю, что моих коллег, в целом, легко мог заменить кто-то другой (Шкала);Другие люди говорят, что моя работа важна (Шкала);Я знаю, как моя работа влияет на мир, и мне нравится это влияние (Шкала);Мне говорят, что моя работа полезна (Шкала);Я думаю, что мир не станет хуже, если я буду плохо делать свою работу (Шкала);Я чувствую, что от моей работы много зависит (Шкала);Я думаю, что большая часть профессий важнее моей (Шкала);Я чувствую, что моя работа важна для общества (Шкала);Я хожу на выставки/конференции по теме моей работы в свободное время (Шкала);В свободное время я читаю профильную литературу (Шкала);Я делюсь интересными “трюками”, которые я придумал в своей работе (Шкала);Мои рабочие инструменты просты в обращении и не требуют развития навыков (Шкала);Я знаю, почему я использую для работы те, а не иные инструменты/техники/приёмы/программы (Шкала);Разные инструменты/техники/приёмы/программы, которые я использую в работе, не влияют на её эффективность, качество и скорость (Шкала);В моей работе применима пословица: “Хочешь сделать работу — сначала наточи инструменты” (хорошие средства труда важны в моей работе) (Шкала);Я чувствую, что без необходимости ходить на работу, я был бы в разы счастливее (Шкала);Я начинаю скучать по работе во время долгих праздников и отпуска (Шкала);Я чувствую сильное напряжение, если мне приходиться задерживаться после работы (Шкала);Я ложусь спать с приятным предвкушением завтрашних рабочих задач (Шкала);Я с радостью пользуюсь возможностью рассказать о том, что делаю на работе (Шкала);Я стараюсь не думать о работе в нерабочее время (Шкала);Друзья считают меня “фанатиком своего дела” (Шкала);Работа, которую я выполняю, оплачивается компанией справедливо (Шкала);Уровень моей заработной платы соответствует моим квалификации, знаниям, умениям и навыкам (Шкала);Моя заработная плата соответствует моим усилиям (Шкала);Размер моей заработной платы стимулирует меня к труду (Шкала);В нашей компании созданы благоприятные условия труда (Шкала);У меня есть все, что необходимо мне для работы (Шкала);Я могу рассказать о нашей организации как о хорошем месте работы с неплохими условиями труда (Шкала);Меня не устраивает организация труда в нашей организации (Шкала);Наш руководитель воодушевляет меня на работу с высокой отдачей (Шкала);Меня редко хвалят или благодарят за работу (Шкала);Мой непосредственный руководитель часто не понимает или не хочет понять меня (Шкала);У меня сложились хорошие отношения с людьми, с которыми я работаю (Шкала);Люди, с которыми я работаю, уважают меня (Шкала);Мне нравятся люди, с которыми я вместе работаю (Шкала);То, чем я занимаюсь на моей работе, меня интересует (Шкала);За последнее время я добился(ась) успехов на своей работе (Шкала);В работе меня прежде всего привлекает возможность узнавать что-то новое (Шкала);С каждым месяцем я ощущаю, как растут мои профессиональные знания (Шкала);Процесс работы доставляет мне удовольствие (Шкала);Специалист, который не может дать четкий ответ, возможно, не слишком много знает (Шкала);Хорошая работа – это та, на которой всегда ясно, что и как это нужно делать (Шкала);В долговременной перспективе добиться большего возможно, решая маленькие и простые проблемы, чем большие и сложные (Шкала);Привычное всегда предпочтительнее незнакомого (Шкала);Человек, который ведет ровную, размеренную жизнь (без особых сюрпризов и неожиданностей), на самом деле должен быть благодарен судьбе (Шкала);Я больше люблю вечеринки со знакомыми людьми, чем те, где большинство людей мне совершенно незнакомы (Шкала);Чем скорее мы придем к единым ценностям и идеалам, тем лучше (Шкала);Люди, которые подчинили свою жизнь расписанию, наверное, лишают себя большинства радостей жизни (Шкала);Интереснее заниматься сложной проблемой, чем решать простую (Шкала);Часто наиболее интересные и заводящие других люди – это те, кто не боится быть оригинальным и непохожим на других (Шкала);Люди, которые настаивают на ответе либо «да», либо «нет», просто не знают, насколько все на самом деле сложно (Шкала);Многие из наиболее важных решений основаны на неполной информации (Шкала);Хороший учитель – это тот, кто заставляет тебя размышлять о твоем взгляде на жизнь (Шкала);В основном моя жизнь близка к идеалу (Шкала);Обстоятельства моей жизни исключительно благоприятны (Шкала);Я полностью удовлетворен моей жизнью (Шкала);У меня есть в жизни то, что мне по настоящему нужно (Шкала);Если бы мне пришлось жить еще раз, я бы оставил все как есть (Шкала);Я понимаю смысл моей жизни (Шкала);В моей жизни есть четкое понимание цели (Шкала);У меня есть четкое понимание того, что наполняет мою жизнь смыслом (Шкала);Я уже нашел удовлетворяющую меня цель жизни (Шкала);У меня нет четкой цели в жизни (Шкала);Я считаю себя тревожным, легко расстраивающимся (Шкала);Я считаю себя спокойным, эмоционально стабильным (Шкала)
Мужчина;53;Санкт-Петербург;Среднее общее (11 классов);15-20 лет;1-3 года;"Транспорт;";До 50 человек;Специалист;80;30 000 — 60 000;Затрудняюсь ответить;Иногда;Скорее часто;Редко;Скорее редко;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Иногда;Редко;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее согласен;Согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Не согласен;Согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Не согласен;Согласен;Затрудняюсь ответить;Согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен
Мужчина;51;Город с численностью жителей миллион и более человек;Высшее;20 + лет;15-20 лет;Издательство/Полиграфия;До 50 человек;Дизайнер-Верстальщик;100;30 000 — 60 000;Да;Практически всегда;Часто;Редко;Редко;Практически всегда;Иногда;Редко;Часто;Иногда;Редко;Практически никогда;Скорее часто;Скорее часто;Иногда;Практически никогда;Редко;Иногда;Редко;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Иногда;Скорее часто;Иногда;Скорее часто;Часто;Скорее часто;Не согласен;Не согласен;Где-то посередине;Не согласен;Скорее согласен;Согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Не согласен;Скорее не согласен, чем согласен;Абсолютно согласен;Не согласен;Не согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Согласен;Скорее согласен;Полностью согласен;Скорее согласен;Не согласен;Скорее не согласен;Нечто среднее
Мужчина;43;Город с численностью жителей миллион и более человек;Высшее;15-20 лет;3-5 лет;"Продажи, закупки;";До 500 человек;Заведующий сектором;100;60 000 — 100 000;Нет;Скорее часто;Скорее часто;Часто;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Практически никогда;Практически никогда;Редко;Редко;Иногда;Иногда;Редко;Редко;Часто;Часто;Скорее часто;Редко;Скорее часто;Редко;Редко;Редко;Редко;Скорее часто;Скорее часто;Иногда;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Согласен;Не согласен;Нечто среднее;Скорее согласен;Скорее не согласен;Нечто среднее;Скорее согласен;Нечто среднее;Не согласен
Женщина;33;Санкт-Петербург;Высшее;5-10 лет;3-5 лет;"Образование;";До 500 человек;Ведущий специалист;100;100 000 — 150 000;Затрудняюсь ответить;Иногда;Иногда;Часто;Скорее редко;Иногда;Редко;Часто;Скорее часто;Иногда;Скорее часто;Иногда;Скорее часто;Иногда;Скорее часто;Иногда;Редко;Часто;Скорее часто;Часто;Скорее редко;Иногда;Практически всегда;Редко;Скорее редко;Практически никогда;Иногда;Часто;Иногда;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Нечто среднее;Нечто среднее
Женщина;42;Город с численностью от 500 тысяч до 950 тысяч;Высшее;10-15 лет;10-15 лет;"Обслуживание;";1000+ человек;Специалист поддержки пользователей;15000;60 000 — 100 000;Нет;Скорее часто;Скорее часто;Часто;Скорее редко;Скорее редко;Скорее редко;Скорее часто;Практически никогда;Редко;Практически никогда;Скорее часто;Скорее редко;Скорее часто;Иногда;Практически никогда;Редко;Иногда;Скорее часто;Практически всегда;Иногда;Скорее часто;Скорее часто;Иногда;Скорее часто;Практически никогда;Практически никогда;Практически всегда;Иногда;Не согласен;Скорее не согласен;Не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Не согласен;Согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Не согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее не согласен;Нечто среднее;Скорее согласен;Скорее согласен;Скорее согласен
Женщина;29;Москва;Высшее;10-15 лет;3-5 лет;"Медицина;";До 50 человек;администратор;50;60 000 — 100 000;Нет;Иногда;Практически всегда;Практически никогда;Скорее часто;Скорее часто;Практически всегда;Практически никогда;Скорее часто;Практически никогда;Иногда;Скорее редко;Скорее часто;Скорее часто;Иногда;Практически никогда;Практически никогда;Скорее редко;Иногда;Иногда;Иногда;Иногда;Практически всегда;Иногда;Иногда;Скорее редко;Скорее часто;Иногда;Практически никогда;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Где-то посередине;Скорее не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее согласен, чем не согласен;Не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Нечто среднее;Согласен;Скорее не согласен;Согласен;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее
Женщина;34;Город с численностью от 500 тысяч до 950 тысяч;Высшее;5-10 лет;1-3 года;"Красота и здоровье;";До 50 человек;мастер маникюра и педикюра;10;60 000 — 100 000;Нет;Часто;Иногда;Иногда;Скорее часто;Скорее часто;Скорее редко;Иногда;Скорее часто;Скорее часто;Часто;Скорее редко;Скорее часто;Скорее часто;Часто;Часто;Иногда;Иногда;Скорее редко;Скорее часто;Редко;Практически всегда;Редко;Практически всегда;Скорее редко;Иногда;Скорее часто;Иногда;Иногда;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Скорее не согласен, чем согласен;Не согласен;Не согласен;Согласен;Не согласен;Не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Не согласен;Нечто среднее;Нечто среднее;Скорее согласен;Не согласен;Нечто среднее;Скорее согласен;Нечто среднее;Скорее согласен;Не согласен;Нечто среднее;Нечто среднее
Женщина;55;Москва;Высшее;3-5 лет;1-3 года;"Образование;";До 50 человек;помощник руководителя;100;30 000 — 60 000;Да;Часто;Часто;Иногда;Практически всегда;Практически всегда;Скорее часто;Редко;Часто;Часто;Практически всегда;Скорее редко;Практически всегда;Скорее редко;Часто;Практически никогда;Практически никогда;Часто;Иногда;Часто;Редко;Практически всегда;Часто;Иногда;Скорее часто;Редко;Часто;Часто;Скорее часто;Скорее не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Не согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Не согласен;Абсолютно согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Абсолютно согласен;Согласен;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Полностью не согласен;Полностью не согласен;Не согласен;Полностью согласен;Полностью не согласен;Полностью не согласен;Нечто среднее;Нечто среднее;Полностью не согласен;Нечто среднее;Полностью согласен;Полностью не согласен
Женщина;48;Город с численностью от 50 тысяч до 100 тысяч;Высшее;20 + лет;3-5 лет;Контрольный орган;До 50 человек;ведущий инспектор;80;30 000 — 60 000;Затрудняюсь ответить;Часто;Скорее часто;Практически никогда;Редко;Иногда;Иногда;Иногда;Редко;Иногда;Редко;Редко;Иногда;Скорее редко;Иногда;Редко;Иногда;Иногда;Скорее часто;Часто;Иногда;Иногда;Иногда;Практически никогда;Редко;Редко;Иногда;Скорее часто;Иногда;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Нечто среднее;Нечто среднее
Женщина;54;Москва;Высшее;20 + лет;3-5 лет;"Продажи, закупки;";До 500 человек;консультант;100;60 000 — 100 000;Да;Практически всегда;Иногда;Иногда;Практически никогда;Скорее редко;Иногда;Иногда;Редко;Практически никогда;Редко;Практически никогда;Редко;Иногда;Редко;Практически никогда;Редко;Иногда;Скорее редко;Практически всегда;Практически никогда;Редко;Практически всегда;Редко;Практически всегда;Редко;Иногда;Практически всегда;Скорее редко;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Абсолютно согласен;Согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Не согласен;Не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Согласен;Полностью согласен;Скорее согласен;Скорее согласен;Полностью согласен;Полностью согласен;Скорее согласен;Полностью не согласен;Не согласен;Полностью согласен
