dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,klim1,klim2,klim3,klim4,klim5,klim6,klim7,klim8,klim9,klim10,klim11,klim12,klim13,klim14,klim15,klim16,klim17,klim18,klim19,klim20,klim21,klim22,klim23,klim24,klim25,klim26,klim27,klim28,job_sat1,job_sat2,job_sat3,job_sat4,job_sat5,job_sat6,job_sat7,job_sat8,job_sat9,job_sat10,job_sat11,job_sat12,job_sat13,job_sat14,job_sat15,job_sat16,job_sat17,job_sat18,job_sat19,tol_intol1,tol_intol2,tol_intol3,tol_intol4,tol_intol5,tol_intol6,tol_intol7,tol_intol8,tol_intol9,tol_intol10,tol_intol11,tol_intol12,tol_intol13,life_sat1,life_sat2,life_sat3,life_sat4,life_sat5,purp1,purp2,purp3,purp4,purp5,neuro1,neuro2,klim_sum_1,klim_sum_2,klim_sum_3,klim_sum_4,job_sat_sum_1,job_sat_sum_2,job_sat_sum_3,job_sat_sum_4,job_sat_sum_5,job_sat_sum,tol_intol_sum_1,tol_intol_sum_2,life_sat_sum_1,purp_sum_1,neuro_sum_1,mdl2_5_klim4,mdl2_5_klim1,mdl2_5_klim2,mdl2_5_klim5,mdl2_5_klim6,mdl2_5_klim9,mdl2_5_klim8,mdl2_5_klim10,mdl2_5_klim12,mdl2_5_klim14,mdl2_5_klim16,mdl2_5_klim15,mdl2_5_klim17,mdl2_5_klim19,mdl2_5_klim21,mdl2_5_klim25,mdl2_5_klim22,mdl2_5_klim23,mdl2_5_klim26,mdl2_5_klim28,mdl2_5_sum,mdl2_5_sum_1,mdl2_5_sum_2,mdl2_5_sum_3,mdl2_5_sum_4,mdl4_5_klim4,mdl4_5_klim1,mdl4_5_klim2,mdl4_5_klim5,mdl4_5_klim6,mdl4_5_klim9,mdl4_5_klim8,mdl4_5_klim10,mdl4_5_klim12,mdl4_5_klim14,mdl4_5_klim15,mdl4_5_klim16,mdl4_5_klim22,mdl4_5_klim23,mdl4_5_klim28,mdl4_5_klim21,mdl4_5_klim19,mdl4_5_sum,mdl4_5_sum_1,mdl4_5_sum_2,mdl4_5_sum_4,mdl4_5_sum_3
Мужчина,53,Санкт-Петербург,Среднее общее (11 классов),15-20 лет,1-3 года,Транспорт;,До 50 человек,Специалист,80,30 000 — 60 000,Затрудняюсь ответить,4,5,6,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,2,3,3,4,3,2,3,3,4,4,5,3,3,3,3,3,2,2,6,5,3,3,4,4,5,3,2,6,4,6,3,4,3,3,3,5,4,5,4,4,3,3,30,29,28,25,11,12,10,12,14,59,27,26,16,22,6,3,3.3320074068023513,3.1449717640238646,2.546526783512438,2.7810139136804755,4,3.4363819861375746,3.7271386251682164,3.4176602605087893,3.700274063207489,4,4.05731810150165,4.03751976380253,2.231051203756786,3.6574731025882663,4,2.3943300468192934,2.5838852700545707,3.128022347910672,1.4301150495926445,64.60568968906762,14.80451986801913,18.28145493502207,17.983362171649233,13.53635271437718,3,3.4907069293865773,3.2585522940153275,2.404183181574144,2.6672962525137827,4,3.4134099616927416,3.7000061436646035,3.419691228294509,3.6740758643609523,4,3.9037777368859037,2.7605532709159344,2.7096924302910352,1.715566572180916,4,2.9177936317324704,55.0353054975089,14.820738657489832,18.207183198012807,15.089590010273788,6.91779363173247
Мужчина,51,Город с численностью жителей миллион и более человек,Высшее,20 + лет,15-20 лет,Издательство/Полиграфия,До 50 человек,Дизайнер-Верстальщик,100,30 000 — 60 000,Да,7,6,6,2,7,4,6,6,4,2,7,5,3,4,1,2,4,6,7,7,7,1,4,3,4,5,2,5,1,1,3,1,4,5,4,4,2,3,4,4,4,3,4,4,3,3,4,6,5,5,4,4,6,7,5,5,5,2,3,7,2,2,3,5,3,6,5,7,5,6,3,4,38,31,34,24,6,17,9,11,18,61,37,27,15,29,7,2,5.831012961904115,3.773966116828637,4.456421871146767,2.7810139136804755,4,5.154572979206362,1.8635693125841082,4.272075325635987,3.700274063207489,2,1.0143295253754125,4.03751976380253,3.9043396065743754,6.400577929529466,4,0.5985825117048234,3.445180360072761,3.91002793488834,3.575287623981611,70.71875180012326,18.842414863559995,18.990491680633944,17.356766825281785,15.529078430647536,2,6.108737126426511,3.9102627528183933,4.207320567754752,2.6672962525137827,4,5.120114942539113,1.8500030718323017,4.2746140353681366,3.6740758643609523,1,1.9518888684429518,0.6901383177289836,3.6129232403880467,4.288916430452289,7,5.106138855531823,61.462430326158035,18.893616699513437,18.918807914100505,11.543866857012272,12.106138855531823
Мужчина,43,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,3-5 лет,"Продажи, закупки;",До 500 человек,Заведующий сектором,100,60 000 — 100 000,Нет,5,5,2,3,4,4,5,4,1,1,6,2,4,4,2,2,6,2,5,6,5,6,2,6,2,5,3,4,2,3,4,4,4,4,4,5,3,4,4,4,4,4,4,5,2,2,4,3,5,5,3,4,5,5,6,5,5,6,6,6,3,3,5,6,2,4,5,3,4,3,4,6,28,22,28,28,13,17,11,12,17,70,30,34,19,19,10,3,4.1650092585029395,3.1449717640238646,2.546526783512438,2.7810139136804755,1,3.4363819861375746,0.9317846562920541,1.7088301302543947,3.700274063207489,2,2.028659050750825,6.056279645703795,2.7888140046959826,4.571841378235333,2,3.59149507022894,1.7225901800363805,3.91002793488834,2.860230099185289,57.94472991933611,15.637521719719718,10.777270835891512,17.445594079385934,14.08434328433895,3,4.363383661733222,3.2585522940153275,2.404183181574144,2.6672962525137827,1,3.4134099616927416,0.9250015359161509,1.7098456141472544,3.6740758643609523,2,1.9518888684429518,4.140829906373901,1.8064616201940233,3.431133144361832,5,3.647242039665588,48.39330394499187,15.693415389836476,10.7223329761171,13.330313539372709,8.647242039665588
Женщина,33,Санкт-Петербург,Высшее,5-10 лет,3-5 лет,Образование;,До 500 человек,Ведущий специалист,100,100 000 — 150 000,Затрудняюсь ответить,4,4,2,3,4,2,2,5,4,5,4,5,4,5,4,2,6,3,6,5,4,1,2,5,1,4,2,4,3,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,4,5,5,5,3,4,4,5,4,5,4,5,5,4,4,4,4,3,5,6,5,5,5,4,4,21,32,30,19,13,14,12,10,16,65,30,28,19,26,8,3,3.3320074068023513,2.5159774112190916,2.546526783512438,1.3905069568402377,4,4.295477482671968,4.658923281460271,4.272075325635987,4.625342579009361,2,4.05731810150165,6.056279645703795,3.346576805635179,3.6574731025882663,1,0.5985825117048234,1.7225901800363805,3.128022347910672,2.860230099185289,63.06391002141776,12.78501855837412,21.851818668777586,19.11764765542889,9.309425138837165,3,3.4907069293865773,2.606841835212262,2.404183181574144,1.3336481262568913,4,4.266762452115927,4.625007679580754,4.2746140353681366,4.5925948304511905,4,1.9518888684429518,0.6901383177289836,1.8064616201940233,3.431133144361832,4,4.376690447598706,54.85067146827238,12.835380072429874,21.75897899751601,11.87962195072779,8.376690447598705
Женщина,42,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,10-15 лет,Обслуживание;,1000+ человек,Специалист поддержки пользователей,15000,60 000 — 100 000,Нет,5,5,2,3,3,3,3,1,2,1,3,3,3,4,1,2,4,3,7,4,5,3,4,3,1,1,1,4,1,2,1,3,3,4,3,3,1,1,4,4,2,3,3,3,3,2,4,5,7,5,6,4,5,5,3,3,6,5,5,3,2,5,3,3,4,4,3,3,4,3,5,3,24,17,26,17,7,13,6,9,15,50,37,25,17,17,8,3,4.1650092585029395,3.1449717640238646,1.9098950876343286,2.0857604352603567,2,0.8590954965343937,0.9317846562920541,2.563245195381592,3.700274063207489,2,1.0143295253754125,4.03751976380253,3.9043396065743754,4.571841378235333,1,1.79574753511447,3.445180360072761,0.782005586977668,2.860230099185289,49.77122981217486,14.305636545421489,10.05439941141553,15.528030273987651,9.883163581350187,3,4.363383661733222,3.2585522940153275,1.803137386180608,2.000472189385337,2,0.8533524904231854,0.9250015359161509,2.5647684212208817,3.6740758643609523,1,1.9518888684429518,2.0704149531869507,3.6129232403880467,3.431133144361832,5,5.106138855531823,46.61524290514727,14.425545531314494,10.01719831192117,12.06636020637978,10.106138855531823
Женщина,29,Москва,Высшее,10-15 лет,3-5 лет,Медицина;,До 50 человек,администратор,50,60 000 — 100 000,Нет,4,7,7,5,5,7,7,5,1,4,5,5,3,4,1,1,3,4,4,4,4,1,4,4,3,5,4,1,5,5,5,5,5,5,5,5,3,4,1,5,5,5,5,5,1,4,5,5,5,3,5,4,7,5,2,2,6,6,6,6,6,6,4,6,3,6,4,5,4,4,4,4,42,27,21,22,20,20,8,15,20,83,34,28,25,23,8,5,3.3320074068023513,4.402960469633411,3.1831584793905474,4.866774348940832,1,4.295477482671968,3.7271386251682164,4.272075325635987,3.700274063207489,1,1.0143295253754125,3.0281398228518976,2.231051203756786,3.6574731025882663,3,0.5985825117048234,3.445180360072761,3.91002793488834,0.7150575247963222,60.37970818748541,20.784900704767143,16.994965496683662,10.930993654572362,11.668848331462247,5,3.4907069293865773,4.561973211621459,3.00522897696768,4.66776844189912,1,4.266762452115927,3.7000061436646035,4.2746140353681366,3.6740758643609523,1,0.9759444342214759,0.6901383177289836,3.6129232403880467,0.857783286090458,4,2.9177936317324704,51.69571896554589,20.725677559874836,16.91545849550962,7.136789278428964,6.91779363173247
Женщина,34,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,1-3 года,Красота и здоровье;,До 50 человек,мастер маникюра и педикюра,10,60 000 — 100 000,Нет,6,4,4,5,5,3,4,5,5,6,5,5,3,6,6,4,4,5,5,6,7,6,7,5,4,5,4,4,4,3,3,4,3,3,3,3,2,4,4,3,3,3,5,5,4,4,5,3,2,2,6,2,2,5,6,5,5,4,5,6,2,4,4,5,2,4,5,4,5,6,4,4,31,35,37,35,14,12,10,9,23,68,22,31,17,24,8,5,4.998011110203527,2.5159774112190916,3.1831584793905474,2.0857604352603567,5,4.295477482671968,5.590707937752325,4.272075325635987,5.550411094811233,4,6.085977152252475,4.03751976380253,2.7888140046959826,6.400577929529466,4,3.59149507022894,6.029065630127332,3.91002793488834,2.860230099185289,86.19528686165539,17.782907436073522,24.708671840871514,23.312888850280455,20.3908187344299,5,5.236060394079866,2.606841835212262,3.00522897696768,2.000472189385337,5,4.266762452115927,5.550009215496905,4.2746140353681366,5.511113796541428,6,3.9037777368859037,4.140829906373901,6.322615670679082,3.431133144361832,7,3.647242039665588,76.89670139313385,17.848603395645146,24.602499499522395,23.79835645830072,10.647242039665588
Женщина,55,Москва,Высшее,3-5 лет,1-3 года,Образование;,До 50 человек,помощник руководителя,100,30 000 — 60 000,Да,6,6,4,7,7,5,6,6,6,7,5,7,5,6,1,1,6,4,6,6,7,2,4,3,2,6,2,5,2,1,1,1,1,1,1,1,1,2,1,5,4,5,3,2,3,3,3,2,7,3,5,4,6,7,6,6,7,5,6,6,1,1,2,7,1,1,4,4,1,4,7,7,41,42,31,24,5,4,4,14,14,41,34,36,12,14,14,7,4.998011110203527,3.773966116828637,4.456421871146767,3.476267392100594,6,5.154572979206362,6.522492594044379,5.980905455890381,5.550411094811233,1,1.0143295253754125,6.056279645703795,3.346576805635179,6.400577929529466,2,1.1971650234096467,3.445180360072761,4.692033521866008,3.575287623981611,85.64047904980576,23.704666490279525,29.208382123952354,17.817763906243854,14.909666529330027,7,5.236060394079866,3.9102627528183933,4.207320567754752,3.3341203156422283,6,5.120114942539113,6.475010751413056,5.98445964951539,5.511113796541428,1,0.9759444342214759,1.3802766354579672,3.6129232403880467,4.288916430452289,7,4.376690447598706,75.4132143584227,23.687764030295238,29.090699140008986,11.25806074051978,11.376690447598705
Женщина,48,Город с численностью от 50 тысяч до 100 тысяч,Высшее,20 + лет,3-5 лет,Контрольный орган,До 50 человек,ведущий инспектор,80,30 000 — 60 000,Затрудняюсь ответить,6,5,7,2,4,4,4,2,4,2,6,4,5,4,2,4,4,3,6,4,4,4,1,6,2,4,3,4,3,4,4,3,4,4,4,4,2,3,3,4,4,3,4,4,4,3,3,4,6,4,3,4,6,4,4,4,5,5,4,6,2,2,2,2,2,6,5,6,5,6,4,4,32,27,27,24,14,16,8,11,18,67,31,28,10,28,8,2,4.998011110203527,3.1449717640238646,2.546526783512438,2.7810139136804755,4,1.7181909930687873,1.8635693125841082,3.4176602605087893,3.700274063207489,4,2.028659050750825,4.03751976380253,3.346576805635179,3.6574731025882663,2,2.3943300468192934,0.8612950900181903,3.128022347910672,2.860230099185289,58.48432450749972,15.470523571420305,14.699694629369173,17.0702287227768,11.243877583933445,2,5.236060394079866,3.2585522940153275,2.404183181574144,2.6672962525137827,4,1.7067049808463708,1.8500030718323017,3.419691228294509,3.6740758643609523,2,3.9037777368859037,2.7605532709159344,0.9032308100970117,3.431133144361832,4,4.376690447598706,51.59195267737664,15.56609212218312,14.650475145334134,12.998694962260682,8.376690447598705
Женщина,54,Москва,Высшее,20 + лет,3-5 лет,"Продажи, закупки;",До 500 человек,консультант,100,60 000 — 100 000,Да,7,4,4,1,3,4,4,2,1,2,7,2,4,2,1,2,4,5,7,7,2,1,2,1,2,4,1,3,3,3,3,2,3,4,3,2,3,3,3,4,3,3,3,4,4,4,4,7,6,4,3,7,5,5,7,2,2,4,5,6,6,6,6,7,5,5,7,7,5,7,2,1,27,20,28,14,11,12,9,10,19,61,37,26,30,31,3,1,5.831012961904115,2.5159774112190916,1.9098950876343286,2.7810139136804755,1,1.7181909930687873,1.8635693125841082,1.7088301302543947,1.8501370316037444,2,1.0143295253754125,4.03751976380253,3.9043396065743754,1.8287365512941332,2,0.5985825117048234,1.7225901800363805,3.128022347910672,2.1451725743889667,44.557919903036336,14.03789937443801,8.140727467511034,12.78492544704645,9.594367614040843,1,6.108737126426511,2.606841835212262,1.803137386180608,2.6672962525137827,1,1.7067049808463708,1.8500030718323017,1.7098456141472544,1.8370379321804762,1,1.9518888684429518,0.6901383177289836,1.8064616201940233,2.573349858271374,2,5.106138855531823,37.417581719508725,14.186012600333164,8.103591599006403,8.021838664637333,7.106138855531823
