dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,klim1,klim2,klim3,klim4,klim5,klim6,klim7,klim8,klim9,klim10,klim11,klim12,klim13,klim14,klim15,klim16,klim17,klim18,klim19,klim20,klim21,klim22,klim23,klim24,klim25,klim26,klim27,klim28,job_sat1,job_sat2,job_sat3,job_sat4,job_sat5,job_sat6,job_sat7,job_sat8,job_sat9,job_sat10,job_sat11,job_sat12,job_sat13,job_sat14,job_sat15,job_sat16,job_sat17,job_sat18,job_sat19,tol_intol1,tol_intol2,tol_intol3,tol_intol4,tol_intol5,tol_intol6,tol_intol7,tol_intol8,tol_intol9,tol_intol10,tol_intol11,tol_intol12,tol_intol13,life_sat1,life_sat2,life_sat3,life_sat4,life_sat5,purp1,purp2,purp3,purp4,purp5,neuro1,neuro2,klim_sum_1,klim_sum_2,klim_sum_3,klim_sum_4,job_sat_sum_1,job_sat_sum_2,job_sat_sum_3,job_sat_sum_4,job_sat_sum_5,tol_intol_sum_1,tol_intol_sum_2,life_sat_sum_1,purp_sum_1,neuro_sum_1
Мужчина,53,Санкт-Петербург,Среднее общее (11 классов),15-20 лет,1-3 года,Транспорт;,До 50 человек,Специалист,80,30 000 — 60 000,Затрудняюсь ответить,4,5,6,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,2,3,3,4,3,2,3,3,4,4,5,3,3,3,3,3,2,2,6,5,3,3,4,4,5,3,2,6,4,6,3,4,3,3,3,5,4,5,4,4,3,3,30,29,28,25,11,12,10,12,14,27,26,16,22,6
Мужчина,51,Город с численностью жителей миллион и более человек,Высшее,20 + лет,15-20 лет,Издательство/Полиграфия,До 50 человек,Дизайнер-Верстальщик,100,30 000 — 60 000,Да,7,6,6,2,7,4,6,6,4,2,7,5,3,4,1,2,4,6,7,7,7,1,4,3,4,5,2,5,1,1,3,1,4,5,4,4,2,3,4,4,4,3,4,4,3,3,4,6,5,5,4,4,6,7,5,5,5,2,3,7,2,2,3,5,3,6,5,7,5,6,3,4,38,31,34,24,6,17,9,11,18,37,27,15,29,7
Мужчина,43,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,3-5 лет,"Продажи, закупки;",До 500 человек,Заведующий сектором,100,60 000 — 100 000,Нет,5,5,2,3,4,4,5,4,1,1,6,2,4,4,2,2,6,2,5,6,5,6,2,6,2,5,3,4,2,3,4,4,4,4,4,5,3,4,4,4,4,4,4,5,2,2,4,3,5,5,3,4,5,5,6,5,5,6,6,6,3,3,5,6,2,4,5,3,4,3,4,6,28,22,28,28,13,17,11,12,17,30,34,19,19,10
Женщина,33,Санкт-Петербург,Высшее,5-10 лет,3-5 лет,Образование;,До 500 человек,Ведущий специалист,100,100 000 — 150 000,Затрудняюсь ответить,4,4,2,3,4,2,2,5,4,5,4,5,4,5,4,2,6,3,6,5,4,1,2,5,1,4,2,4,3,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,4,5,5,5,3,4,4,5,4,5,4,5,5,4,4,4,4,3,5,6,5,5,5,4,4,21,32,30,19,13,14,12,10,16,30,28,19,26,8
Женщина,42,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,10-15 лет,Обслуживание;,1000+ человек,Специалист поддержки пользователей,15000,60 000 — 100 000,Нет,5,5,2,3,3,3,3,1,2,1,3,3,3,4,1,2,4,3,7,4,5,3,4,3,1,1,1,4,1,2,1,3,3,4,3,3,1,1,4,4,2,3,3,3,3,2,4,5,7,5,6,4,5,5,3,3,6,5,5,3,2,5,3,3,4,4,3,3,4,3,5,3,24,17,26,17,7,13,6,9,15,37,25,17,17,8
Женщина,29,Москва,Высшее,10-15 лет,3-5 лет,Медицина;,До 50 человек,администратор,50,60 000 — 100 000,Нет,4,7,7,5,5,7,7,5,1,4,5,5,3,4,1,1,3,4,4,4,4,1,4,4,3,5,4,1,5,5,5,5,5,5,5,5,3,4,1,5,5,5,5,5,1,4,5,5,5,3,5,4,7,5,2,2,6,6,6,6,6,6,4,6,3,6,4,5,4,4,4,4,42,27,21,22,20,20,8,15,20,34,28,25,23,8
Женщина,34,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,1-3 года,Красота и здоровье;,До 50 человек,мастер маникюра и педикюра,10,60 000 — 100 000,Нет,6,4,4,5,5,3,4,5,5,6,5,5,3,6,6,4,4,5,5,6,7,6,7,5,4,5,4,4,4,3,3,4,3,3,3,3,2,4,4,3,3,3,5,5,4,4,5,3,2,2,6,2,2,5,6,5,5,4,5,6,2,4,4,5,2,4,5,4,5,6,4,4,31,35,37,35,14,12,10,9,23,22,31,17,24,8
Женщина,55,Москва,Высшее,3-5 лет,1-3 года,Образование;,До 50 человек,помощник руководителя,100,30 000 — 60 000,Да,6,6,4,7,7,5,6,6,6,7,5,7,5,6,1,1,6,4,6,6,7,2,4,3,2,6,2,5,2,1,1,1,1,1,1,1,1,2,1,5,4,5,3,2,3,3,3,2,7,3,5,4,6,7,6,6,7,5,6,6,1,1,2,7,1,1,4,4,1,4,7,7,41,42,31,24,5,4,4,14,14,34,36,12,14,14
Женщина,48,Город с численностью от 50 тысяч до 100 тысяч,Высшее,20 + лет,3-5 лет,Контрольный орган,До 50 человек,ведущий инспектор,80,30 000 — 60 000,Затрудняюсь ответить,6,5,7,2,4,4,4,2,4,2,6,4,5,4,2,4,4,3,6,4,4,4,1,6,2,4,3,4,3,4,4,3,4,4,4,4,2,3,3,4,4,3,4,4,4,3,3,4,6,4,3,4,6,4,4,4,5,5,4,6,2,2,2,2,2,6,5,6,5,6,4,4,32,27,27,24,14,16,8,11,18,31,28,10,28,8
Женщина,54,Москва,Высшее,20 + лет,3-5 лет,"Продажи, закупки;",До 500 человек,консультант,100,60 000 — 100 000,Да,7,4,4,1,3,4,4,2,1,2,7,2,4,2,1,2,4,5,7,7,2,1,2,1,2,4,1,3,3,3,3,2,3,4,3,2,3,3,3,4,3,3,3,4,4,4,4,7,6,4,3,7,5,5,7,2,2,4,5,6,6,6,6,7,5,5,7,7,5,7,2,1,27,20,28,14,11,12,9,10,19,37,26,30,31,3
